Brand,Num_SKUs,Actual_Total,Forecast_Total,MAE,Volume_Error_%,Volume_Error_%_Aggregate,Avg_SKU_Error_%
Lakme,168,10152.0,11394.765903885967,1.3444137141055212,inf,12.24,inf
Simple,16,1987.0,1967.8685867657625,1.9232882930376545,18.79875,0.96,18.8
LBP,21,1456.0,1692.5754163328927,1.411838251258403,34.336190476190474,16.25,34.34
Vaseline,11,672.0,808.8001808595363,1.5210347954926868,94.21818181818183,20.36,94.22
Ponds,13,448.0,583.503518372224,1.1494098049070773,71.10076923076923,30.25,71.1
DOVE,7,284.0,395.82263343742653,1.0982909268596939,52.80571428571428,39.37,52.81
TRESEMME,4,261.0,352.7236684692383,1.5759774263001332,35.5975,35.14,35.6
INDULEKHA,1,53.0,63.03170148522904,1.3736101169253263,18.93,18.93,18.93
PEARS,1,39.0,42.505666139943415,0.8485208953708196,8.99,8.99,8.99
V Wash,1,39.0,64.41438964934639,1.1369614106374295,65.17,65.17,65.17
