SKU_Code,Product_Name,Brand,Actual_Total,Forecast_Total,Volume_Error_%,Performance_Category
571273,LAKMEABS 3DLIPSTICK 20WINEFLAIR 3.6GM,Lakme,50.0,49.77133266029349,0.46,Excellent
572056,LAKME9-5 MAT2GLASLIQLIPMB02BRWNSUGR7.6GM,Lakme,41.0,40.76027436741224,0.58,Excellent
545190,LAKME 9TO5 P+M COMPACT NATURAL LIGHT9G,Lakme,30.0,29.811657810547157,0.63,Excellent
570927,LBP ARGAN OIL & LAVENDER COND 200ML,LBP,189.0,187.43790651788947,0.83,Excellent
576872,LAKME 9TO5 HYA MAT LIPSTK AFTRHRSWINE3.6,Lakme,61.0,60.422484763314905,0.95,Excellent
530302,LAK ABS SHINE BLACK EL,Lakme,117.0,118.62683473430285,1.39,Excellent
546818,LAKME LSE ULTRAMATTE COMPACT SPF40 7G,Lakme,49.0,48.27904225644651,1.47,Excellent
574742,DOVE DAILY SHINE SHAMPOO 650 ML,DOVE,60.0,60.97292078011254,1.62,Excellent
530299,LAK ABS DRY COMP 05 BEIGE HONEY,Lakme,167.0,169.82093120644413,1.69,Excellent
570972,SIMPLE VIT C CLAY MASK 50G,Simple,137.0,134.1896487042599,2.05,Excellent
571139,LBP RICE WTR ANGLICA SEED OIL CNDTNR400M,LBP,32.0,32.70133655816269,2.19,Excellent
571018,LAKME ABSOLUTE GLOW PRIMER,Lakme,55.0,53.786359591376026,2.21,Excellent
569803,LAKME ABSOL PERFECT RADIANCE SERUM 15ML,Lakme,87.0,85.02832936645993,2.27,Excellent
570943,LBP TEA TREE SHAMPOO 200ML,LBP,122.0,118.09046031507329,3.2,Excellent
557438,LAKME 9TO5 EYECONIC EYELINER 4.5ML,Lakme,140.0,144.7088711549422,3.36,Excellent
571231,LAKME TRUEWEAR COLOR CRUSH 16,Lakme,81.0,78.23058324286036,3.42,Excellent
573338,LAKME ABS BND MAT LIP 501 BURGNDYBS3.4GM,Lakme,46.0,44.3780903360373,3.53,Excellent
530343,LAK ABS MATTE 16H 01IVRY FAIR,Lakme,93.0,96.93935600353896,4.24,Excellent
568960,LAKME LUMI CREAM SKIN 60G,Lakme,65.0,67.84598583304603,4.38,Excellent
571140,LBP RICE WTR ANGLICA SEED OIL SHAMPO400M,LBP,41.0,42.88175452462476,4.59,Excellent
